Record,Current name (from Valid Names),Galls,Name in record,Source,Description,Host associations mentioned,Photos,Page link,Taxonomic Info,Biology Note,Phenology,Range,Original Description?
52,Callirhytis lanata,Callirhytis lanata,Callirhytis lanata,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,"This species is here recorded from two new host oaks, Q rubra and Q texana from IL, MN, WI, PA, NY, VA, MO, OK, TX, and AL. Galls collected in fall of 1916 contained pupae and larvae in September and adults and larvae in November. Adults issued in April. Brodie found the galls common about Toronto on red and black oak, forest trees as well as second growth. They appear in August, mature in October dropping before the leaves, the producers emerging May and June from galls collected on the ground under the trees the previous fall. ","Quercus rubra,Quercus texana",,https://www.biodiversitylibrary.org/page/7610635#page/363/mode/1up,,,,,No
53,Callirhytis lanata,Callirhytis lanata,Dryophanta lanata,"""Insect galls of Springfield, Massachusetts, and vicinity""","A cluster of several light brown, wooly galls, sometimes pink-tinted, found on the under side of the leaf. Individual galls cone-shaped, monothalamous, attached by tip of cone to common center. About 5 mm wide, 5-7 mm high. The galls fall from the leaf in early autumn. The flies emerge the following spring. Common on Q coccinea.",Quercus coccinea,P6F25,https://www.biodiversitylibrary.org/page/21941228#page/25/mode/1up,(The photo Stebbins includes as D lanata resembles C piperoides; presumably an error),,,,No
54,Callirhytis piperoides,Callirhytis piperoides,Andricus piperoides,"""Insect galls of Springfield, Massachusetts, and vicinity""","These galls are found in clusters of one to five dozen along the midrib, looking as if they had burst out from the inside of the leaf or vein. Each is smooth, spherical, attached by a small stem, 3.8 mm in diameter, monothalamous, grayish or tinged with red. They fall to the ground, where the larva completes its metamorphosis, which sometimes requires two years. Insects in second summer. Leaves of red oak Q rubra. Not rare.",Quercus rubra,,https://www.biodiversitylibrary.org/page/21941228#page/23/mode/1up,,,,,No
55,Callirhytis lanata,Callirhytis lanata,Callirhytis lanata,Cynipid Galls of the Chicago Area,"Hemispherical brownish woolly mass on midrib on underside of leaf of Q rubra and velutina. Made up of a cluster of easily detached separate angular galls which drop to the group in the fall in Oct before the leaves, each covered with a dense coating of wool. They are then fleshy and apparently solid as the larval cavity is very minute. Adults emerge the second and third springs in April.","Quercus rubra,Quercus velutina",,https://www.biodiversitylibrary.org/page/57505981#page/200/mode/1up,,,,IL,No
56,Callirhytis piperoides,Callirhytis piperoides,Dryocosmus piperoides,Cynipid Galls of the Chicago Area,"Similar in size and shape [to Andricus dimorphus] but red in color, in an elongated less compact cluster on upper or lower side of large leaves on thrifty shoots of Q rubra, dropping in October. Pubescent under lens. Adults emerged April-May the second spring and some hang over to emerge still later.",Quercus rubra,,https://www.biodiversitylibrary.org/page/57505981#page/201/mode/1up,,,,IL,No
57,Callirhytis lanata,Callirhytis lanata,Callirhytis lanata,50 common plant galls of the Chicago area,"This gall, which occurs as a woolly mass on the under side of the leaves of several species of the red oak group, is composed of angular galls closely joined. When young the galls are covered with a whitish wool which later turns brown.",,Callirhytis lanata,https://www.biodiversitylibrary.org/item/25182#page/24/mode/1up,,,,IL,No
58,Callirhytis piperoides,Callirhytis piperoides,Andricus piperoides,An illustrated catalogue of American insect galls,"Fuzzy, globular. Red oaks.",,286,https://www.biodiversitylibrary.org/item/37925#page/80/mode/1up,,,,,No
59,Callirhytis piperoides,Callirhytis piperoides,Andricus piperoides,Key to American Insect Galls,"Clustered, pubescent, globular, drab or brownish red midvein galls, frequently splitting and extending along the vein 4 to 8 cm, diameter 3 to 9 mm, occur in clusters of 10 to 100 or more on a leaf, on Q rubra. ",Quercus rubra,,https://www.biodiversitylibrary.org/page/8635512#page/114/mode/1up,,,,,No
60,Callirhytis piperoides,Callirhytis piperoides,Dryocosmus piperoides,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,"Galls of this species were noted on the leaves of Q maxima [rubra] in IL, NY, and VA. Some specimens sent from Maine were determined by the writer as those of this species. Galls collected in IL in October contained both pupae and larvae in September and adults and larvae in November. Adults emerged April to May. The emergence is evidently distributed over at least two seasons. Beutenmueller notes that the galls were very common in the fall of 1916 and again in 1918, but none were noticed in 1917. ",Quercus rubra,,https://www.biodiversitylibrary.org/page/7610700#page/312/mode/1up,,,,,No
61,Callirhytis furva,Callirhytis furva,Callirhytis furva,Cynipid galls of the eastern United States,"On Quercus catesbaei [laevis], coccinea, falcata, ilicifolia, imbricaria, laurifolia, marilandica, myrtifolia, nigra, palustris, phellos, velutina: Small cluster of globular galls, 3-4 mm in dia., each covered with short, straight brown hairs, on upper side of leaf in fall.","Quercus laevis,Quercus coccinea,Quercus falcata,Quercus ilicifolia,Quercus imbricaria,Quercus laurifolia,Quercus marilandica,Quercus myrtifolia,Quercus nigra,Quercus palustris,Quercus phellos,Quercus velutina",212,https://www.biodiversitylibrary.org/item/273718#page/156/mode/1up,,,,,No
62,Callirhytis infuscata,Callirhytis infuscata,Callirhytis infuscata,Cynipid galls of the eastern United States,"On Quercus catesbaei [laevis]: Woolly midrib cluster on under side in fall dropping in late Nov. When wool weathers away each element is white and flat-topped. [contradicts original description, which states that this gall is found on the upper side of the leaf on this host]
On Quercus cinerea [incana]: Globular, fleshy, densely covered with yellow wool, on upper surface in fall, dropping when mature.
On Quercus laurifolia: Globular, fleshy, densely covered with yellowish wool, single or cluster on midrib on  upper surface in fall, dropping when mature, then the wool coming away clean.
On Quercus marilandica: Globular, fleshy, densely covered with yellow wool, on upper surface in fall, dropping when mature.
On Quercus myrtifolia: Globular, fleshy, densely covered with yellow hairs, on upper surface in fall, dropping when mature.
On Quercus phellos: Globular, densely covered with yellow wool, on midrib on upper surface in fall, dropping when mature.
On Quercus pumila: Globular, densely covered with yellow wool, in cluster on midrib in upper surface in fall, dropping when mature and becoming plump on ground, the wool easily detached.","Quercus laevis,Quercus incana,Quercus laurifolia,Quercus marilandica,Quercus myrtifolia,Quercus phellos,Quercus pumila",,,,,,,No
63,Callirhytis piperoides,Callirhytis piperoides,Callirhytis piperoides,Cynipid galls of the eastern United States,"On Quercus coccinea, ilicifolia, rubra, velutina: Cluster on upper or lower side of leaf, each spherical, red, pubescent, 1-4 mm in dia, dropping in fall.","Quercus coccinea,Quercus ilicifolia,Quercus velutina,Quercus rubra",201,https://www.biodiversitylibrary.org/item/273718#page/154/mode/1up,,,,,No
64,Callirhytis lanata,Callirhytis lanata,Callirhytis lanata,Cynipid galls of the eastern United States,"On Quercus coccinea, falcata, ilicifolia, marilandica, rubra, texana, velutina: Woolly midrib cluster on under side of leaf in fall, dropping before the leaves.","Quercus coccinea,Quercus falcata,Quercus ilicifolia,Quercus marilandica,Quercus velutina,Quercus rubra,Quercus texana",206,https://www.biodiversitylibrary.org/item/273718#page/155/mode/1up,,,,,No
65,Neuroterus laurifoliae,Neuroterus laurifoliae,Neuroterus laurifoliae,On The Cynipidous Galls of Florida,"An oblong, wooly gall on the upper or lower surface of the leaves; the wool is fawn colored, long and fine, covering three or four, sometimes more irregularly rounded, flattened disks, in the centre of which live the flies; they are attached to the midrib by a nipple-like point; the disk or cell is concave above and measures .08 to .10 inch in diameter. ",Quercus laurifolia,,https://www.biodiversitylibrary.org/item/32293#page/150/mode/1up,,,,,Yes
66,Neuroterus laurifoliae,Neuroterus laurifoliae,(undescribed),Cynipid galls of the eastern United States,Woolly midrib cluster on under side of leaf in fall. Wool comes off clean leaving a conical gall with a sunken crenate top.,Quercus imbricaria,209,https://www.biodiversitylibrary.org/item/273718#page/155/mode/1up,"Caption for F209: This gall on Q imbricaria with the wool easily detached may be what Ashmead described as the ""Laurel-oak Woolly Gall,"" Neuroterus laurifoliae Ashm., (the type now lost) (no Neuroterus on a red oak) or Callirhytis perplexa (Ashm.), from an unknown oak in MO or Callirhytis infuscata (Ashm) described from Q catesbaei [laevis].",,,,No
67,Neuroterus laurifoliae,Neuroterus laurifoliae,Neuroterus laurifoliae,Key to American Insect Galls,"Globose, kernel-like leaf galls occurring singly or in clusters and covered with long, loose, fawn-colored wool, diameter of kernel 2 to 2.5 mm, on Q laurifolia, Q imbricaria.","Quercus laurifolia,Quercus imbricaria",F107_7-8,https://www.biodiversitylibrary.org/page/8635512#page/116/mode/1up,,,,,No
68,Disholcaspis bassetti,Disholcaspis bassetti,Disholcaspis bassetti,A Study of the Cynipidae,"The gall occurs, sometimes singly, but usually in clusters about the twigs. The cluster represented at Fig. 2 was composed of 30 of these galls closely crowded together. The galls resemble very much the galls of Holcaspis duricoria Bass (Cynips mamma Wal) (Fig 3). The galls are very much the shape that a thick waxy material would take if dropped on the twigs and then suddenly congealed, leaved stout, test-like projections standing out from each drop. The central cell is placed low in the gall and can usually be seen protruding when the latter is broken off. Some entomologists have thought this gall to be identical with Walsh's C. mamma, but I have examined a large number of both forms and find the following points of difference, which convince me that this, if not a new species, is certainly a well marked variety:
H bassetti as compared with H duricoria, is rather larger and more irregular in outline. The teat-like projection is much heavier and longer in proportion to the size of the gall and appears to be a drawn-out portion of the substance of the gall, while in duricoria it is a small, hard pointed projection much resembling a spine in many cases, and often almost entirely wanting. In bassetti the substance of the gall is more corky and easy to cut. The central cell, as before stated, is at the base of the gall, and when the latter is removed the point of the cell can usually be seen protruding below. Before the gall is detached the central cell is situated with its greatest diameter perpendicular to the limb at the point of attachment of the gall. In duricoria the cell is situated at the center of the gall; it never protrudes from below when the gall is detached; and it always has its greatest diameter parallel with the limb at the point of attachment of the gall. The central or larval cells are also differently shaped. In duricoria the cell is egg-shaped, while in bassetti the end towards the twig is somewhat pointed, so that the cell is very much the shape of a plump apple seed with the point rounded off. ",Quercus bicolor,2,https://babel.hathitrust.org/cgi/pt?id=msu.31293101462541&view=1up&seq=508,,,,,Yes
69,Disholcaspis quercusmamma,Disholcaspis quercusmamma,Holscaspis duricoria,A Study of the Cynipidae,"The galls are very common on the twigs of Quercus bicolor and macrocarpa. They may appear singly but are usually crowded in the cluster, are sub-globular in outline with a small teat-like projection. The fly, which much resembles Holcaspis globulus, rugosa, and bassetti, began to appear in the breeding cages Oct 27. Fig 3 is a full size representation of a cluster of these galls.","Quercus bicolor,Quercus macrocarpa",3,https://babel.hathitrust.org/cgi/pt?id=msu.31293101462541&view=1up&seq=506,"This is probably the gall-fly referred to by Walsh in a foot-note in the American Entomologist Vol 1, page 102, for which he suggests the specific name mamma. Mr Bassett described this insect and gave it the specific name duricoria, a name that has been accepted by European entomologists [Weld lists duricoria in the genus Synergus, suggesting it was an inquiline mistaken for the gallformer]. For this reason, and for the farther reason that Walsh's description is not sufficient to distinguish the species with any certainty, I have given Bassett's name the preference. ",,,,No
70,Disholcaspis bassetti,Disholcaspis bassetti,Disholcaspis bassetti,An illustrated catalogue of American insect galls,,Quercus bicolor,214,https://www.biodiversitylibrary.org/item/37925#page/72/mode/1up,,,,,No
71,Disholcaspis bassetti,Disholcaspis bassetti,Disholcaspis bassetti,A contribution to the morphology and biology of insect galls ,"A monothalamous gall occurring singly or in clusters around the stems of the host. When grouped the galls often cover completely 4 to 5 inches of the stem.
When the gall is not deformed by crowding, it is irregularly circular in outline at the base, gradually tapering to a distinct point that is recurved in most cases. The gall is attached to the host by a small stalk at the centre of the base. Colour green, often tinged with pink when young; becoming brown when more mature. The larval chamber resembles closely that found in the former species [Disholcaspis quercusglobulus] in being oval and free at maturity, but it differs in being placed nearer the base of the gall and in tapering to a point at the end nearer the twig. 
Diameter at base, average, 16 mm.
",Quercus macrocarpa,,https://www.biodiversitylibrary.org/page/31983254#page/55/mode/1up,,,,,No
72,Andricus apiarium,Andricus apiarium,Liodora apiarium,New American Cynipid Wasps From Galls,"Solitary, sessile, on underside of leaf close to edge in October, shaped like an old-fashioned straw beehive, white or pinkish, measuring up to 4.6 mm broad by 4.0 mm high. Inside is a large cavity with a transverse larval cell at very base. During the winter on the ground the outer fleshy layer shrivels and the gall becomes more cylindrical. Not common. ",Quercus alba,9,https://www.biodiversitylibrary.org/page/7735404#page/18/mode/1up,,,October,"VA, MD, DC",Yes
73,Disholcaspis quercusmamma,Disholcaspis quercusmamma,Disholcaspis quercusmamma,Key to shelterbelt insects in the northern great plains,"Twig gall. Light tan globular woody gall with a rough surface, found in groups of 3 or more. Bur oak. Summer. Oak bullet gall",Quercus macrocarpa,79,https://www.biodiversitylibrary.org/page/46598504#page/83/mode/1up,,,Summer,,No
74,Disholcaspis quercusmamma,Disholcaspis quercusmamma,Disholcaspis mamma,Key to American Insect Galls,"Globose, obscurely pointed, green, bright red, turning to brown or dark red, diameter 6 to 18 mm, on Q platanoides [bicolor] Q macrocarpa. ","Quercus bicolor,Quercus macrocarpa",F64_1,https://www.biodiversitylibrary.org/page/4885269#page/342/mode/1up,,,,,No
75,Disholcaspis bassetti,Disholcaspis bassetti,Disholcaspis bassetti,Key to American Insect Galls,"Globose, usually with a produced, curved apex, single or clustered twig gall, green turning to brown, on Q platanoides [bicolor], Q imbricaria [mistake? confused with Callirhytis ventricosa?]","Quercus bicolor,Quercus imbricaria",F64_6-7,https://www.biodiversitylibrary.org/page/4885269#page/342/mode/1up,,,,,No
76,Disholcaspis quercusmamma,Disholcaspis quercusmamma,Disholcaspis mamma,50 common plant galls of the Chicago area,"This gall may be confused easily with the preceding [Disholcaspis quercusglobulus]. The distinguishing characters are a velvety surface and pointed apex. It usually occurs in large numbers and in variable sizes on the branches of the burr oak, Quercus macrocarpa. Color: green, turning brown.",Quercus macrocarpa,Disholcaspis quercusmamma,https://www.biodiversitylibrary.org/page/4257877#page/24/mode/1up,,,,IL,No
77,Disholcaspis quercusmamma,Disholcaspis quercusmamma,Disholcaspis mamma,Some plant galls of Illinois,"These round, nipple-tipped galls are found on several species of oaks. They are colored green and red when young, velvety to touch, later becoming red or dark brown. In winter the galls are very hard and may be cut with difficulty. Rough Bullet Galls are generally found on young shoots of oak.",Quercus bicolor,16,https://www.biodiversitylibrary.org/page/16658335#page/23/mode/1up,,,,,No
78,Disholcaspis quercusmamma,Disholcaspis quercusmamma,Disholcaspis mamma,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,"In the Chicago area the galls start about the middle or end of July and some are full grown by end of August, adults emerging in different years from October 20 to November 10. 
","Quercus macrocarpa,Quercus lyrata,Quercus bicolor",,https://www.biodiversitylibrary.org/page/7610694#page/306/mode/1up,,,"July, August, September, October, November","ND, MN, IL, NE, KA, IN, MI, NY, MO, AR",No
79,Disholcaspis quercusmamma,Disholcaspis quercusmamma,Disholcaspis mamma,Cynipid Galls of the Chicago Area,"Pointed bullet gall. Similar [to Disholcaspis quercusglobulus] but pointed at the apex, subclasping at base, often distorted by crowding and extending along the stem for several inches sometimes. Frequently on sprouts from stumps or on small trees in large numbers in the fall. On Q macrocarpa and bicolor. Adults emerge Oct 20-Nov 10.","Quercus bicolor,Quercus macrocarpa",,https://www.biodiversitylibrary.org/page/57505974#page/193/mode/1up,,,Fall,IL,No
80,Disholcaspis bassetti,Disholcaspis bassetti,Disholcaspis bassetti,Cynipid Galls of the Chicago Area,"Bassett's bullet gall. Broadest at the clasping sessile base and tapering gradually above, the apex often lop-sided, 15-20 mm high, the larval cell basal. Single or in crowded clusters on twigs of trees of Q bicolor in fall. Adults emerge in early Oct.",Quercus bicolor,,https://www.biodiversitylibrary.org/page/57505974#page/193/mode/1up,,,,,No
81,Disholcaspis bassetti,Disholcaspis bassetti,Disholcaspis bassetti,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,,Quercus bicolor,,https://www.biodiversitylibrary.org/page/7610694#page/304/mode/1up,,,,"IL, ON",No
82,Callirhytis tubicola,Callirhytis tubicola,Cynips tubicola,On the Cynipidae of the North American Oaks and their Galls,"On Quercus obtusiloba [stellata] Clusters of yellow, tubular galls with red spines, on the underside of the leaves. The gall is a perpendicular tube 0.3 to 0.4 [no unit given] long, slightly narrowed at its point of attachment, open at the other end, yellowish and covered on its outer surface with numerous red spines. If cut open longitudinally, its inside appears divided into three compartments like so many floors, by two horizontal partitions; the compartment nearest to the base is empty, the intermediate one contains the insect and the third one is open at the top. 
If the red spines are removed with a knife and the surface of the gall examined under a strong lens, it shows dense longitudinal fibres and numerous little pale yellow crystals. The substance of the gall itself is hard, as if crystalline. From 30 to 40 of these galls are found sometimes on the underside of a single leaf. I frequently found them near Washington, in October and obtained the fly soon afterwards, each tube containing a single fly.",Quercus stellata,,https://www.biodiversitylibrary.org/item/22852#page/80/mode/1up,,,October,DC,Yes
83,Callirhytis tubicola,Callirhytis tubicola,Callirhytis tubicola,Cynipid galls of the eastern United States,"On Quercus stellata: Cluster of yellow tubular galls bearing red spines, erect on under side of leaf in fall, 12 mm. high.
Galls stand erect in a group on under side of leaf. Adults May 11-28 the next spring.",Quercus stellata,240,https://archive.org/details/cynipidgallseas00weld/page/78/mode/1up?q=tubicola,,,Fall,,No
84,Neuroterus saltarius,Neuroterus saltarius,Neuroterus saltarius,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,"Small, seed-like bodies, inserted in cup-like depressions on the under surface of leaf and causing a prominent light-colored bulging on the upper side of the leaf opposite, often two or three hundred on a leaf, less numerous on the basal part of leaf blade. When growing the galls are greenish-white, somewhat globular, flattened above with a papilla in center and a raised rim, not pubescent. They start to develop in June and in July or August drop to the ground where they exhibit the phenomenon of bouncing about until the lodge in some crevice in the soil where they pass the winter. When detached a large scar is left on base of gall. During the winter the galls become tan-colored and somewhat compressed laterally, one measured 1.2 mm long by .9 mm thick and 1.1 mm high. ","Quercus macrocarpa,Quercus bicolor",,https://www.biodiversitylibrary.org/page/7610595#page/279/mode/1up,This gall seems to have been first described in 1876 by Riley who unfortunately applied to it the name of a California species with similar jumping habits. Under this name the eastern gall has been mentioned many times in literature and good figures have been published of it but up to the present no one seems to have reared the adult.,,"June, July, August","IN, DC, IL, NY, MI, IO, MO, MN",Yes
85,Andricus pattoni,Andricus pattoni,Cynips pattoni,New Cynipidae,"Galls, clusters of larval cells along the midvein of the leaves of Quercus obtusiloba [stellata], on the under side, and standing perpendicular to its surface. The cells are completely hidden in a short, dense brownish wool. The largest clusters often extend along the midvein more than half the length of the leaf. They are found on young trees, and usually on the leaves near the top of the stronger growing shoots. The insects live over winter in the galls. My specimens gathered in October were kept in a warm room and the insects came out in the February following. The galls resemble in their woolly covering those of C. flocci [Andricus quercusflocci] of Walsh, but the latter are round and the woolly hairs are longer, and the species is only found on Quercus alba. ",Quercus stellata,,https://www.biodiversitylibrary.org/item/22092#page/108/mode/1up,"C pattoni was discovered in 1876 on West Rock, in New Haven Conn by Mr W H Patton, from whom I have received several interesting species of gall insects, and to whom, in acknowledgement of my indebtedness, I dedicate this species. ",,October,CT,Yes
86,Andricus ignotus,Andricus ignotus,Cynips ignota,New Cynipidae,"Small oval cells, found singly or in small clusters of from two to eight together on the under side of the leaves of Q. bicolor. They are sessile on the midrib and principal veins, and usually lie in a position nearly horizontal to the surface of the leaf They are at first covered with short woolly hairs, but when ripe become more or less denuded. The naked surface when examined with a microscope shows numerous minute papillae, and between these a fine and regular reticulation. They are .10 of an inch in length and . 05 in diameter, and might easily be mistaken for the cocoons of some species of Microgaster. 
About fifteen years ago I found a few of these galls on the fallen leaves of a large oak and also on a small tree a few rods distant. The next year the greater part of the leaves on the large tree were covered with galls, a hundred or more being sometimes found on a single leaf I gathered a large quantity after the leaves fell, and the flies came out the next spring. I have examined this tree every year since and have never found any of these galls, nor have I ever seen them on other trees. 
There are some specimens of this species in the Museum at Cambridge, which Dr. Hagen informs me were found on oaks in the University grounds. I examined some oaks of the same species in the borders of the Botanical Garden at Cambridge last fall, and found several species of galls, but none of these. Can it be that the species has disappeared entirely ?",Quercus bicolor,,https://www.biodiversitylibrary.org/page/3043689#page/116/mode/1up,,,,MA,Yes
87,Andricus quercusstrobilanus,Andricus quercusstrobilanus,Cynips quercus strobilana,"""Additions and corrections to the paper entitled """"On the Cynipidae of the North American Oaks and their Galls""""""","On Quercus prinos, var bicolor [Quercus bicolor]. Large gall, at the tip of twigs, consisting of a number of wedge-shaped bodies, fastened by their poitned ends to a common centre. Diameter about an inch and a half. C q. stobilana [sic] (as yet not reared)
These specimens measure rather more than an inch and a half in diameter and look somewhat like the cones of some kinds of pine, for instance, of the scrub-pine, as they consist of a number from 20 to 25 or more of wedge-shaped bodies, closely packed together, with their pointed ends attached to a common centre. These wedges are hard and corky and break off very easily when the gall is dry. Each of them contains a hollow kernel with a plump, large larva inside. This gall is evidently produced by the sting of the insect on the single leaves of a bud, each leaf growing into the shape of a wedge.",Quercus bicolor,,https://www.biodiversitylibrary.org/page/3328795#page/296/mode/1up,,,,"PA, MD",Yes
88,Callirhytis vaccinii,Callirhytis vaccinii,(undescribed),"""Additions and corrections to the paper entitled """"On the Cynipidae of the North American Oaks and their Galls""""""","On Quercus obtusiloba [stellata] Post oak. Clusters of small, somewhat bell-shaped, petiolate, greenish galls on the under side of the leaves, along the midrib. Their shape may be compared to that of the flowers of vaccinium. They are attenuated at the basis into a short petiole, fastened to the midrib of the leaf; the opposite end is truncated the truncature being excavated; the length, from the foot of the petiole to the truncated end, is from 0.12 to 0.15. They grow in numbers, sometimes of ten or more together, so that six, for instance, form a row on one side of the midrib and four or five on the opposite. When found by me on the tree in October 1861, these galls were pale green; the dry specimens are brownish. Inside of each was a small whitish larva, probably of a cynips.",Quercus stellata,,https://www.biodiversitylibrary.org/page/3328795#page/297/mode/1up,,,October,,Yes
89,Callirhytis vaccinii,Callirhytis vaccinii,Acraspis vaccinii,On The Cynipidous Galls of Florida,"[Ashmead quotes the entire Osten Sacken original description]
This gall is common; begins developing in August, but does not reach maturity until last of December. I have found the same gall on the Post Oak at Asheville, N. C. ",Quercus stellata,,https://www.biodiversitylibrary.org/item/32293#page/146/mode/1up,"Baron Osten Sacken mentions having found this species in his second paper on North American Oak Galls 1862, p. 255, from whom the description of the gall is taken; he did not, however, breed the fly.",,August,NC,No
90,Callirhytis vaccinii,Callirhytis vaccinii,Zopheroteras vaccinii,"""The species of Biorhiza, Philonix and allied genera, and their galls""","In clusters on the midrib on the under side of the leaves of post oak (Quercus minor [stellata]) in autumn. They grow in numbers on the opposite sides of the rib. Monothalamous, somewhat bell shaped and greenish in color gradually becoming reddish late in the season. They are attenuated at the base into a short petiole, fastened to the rib, and at the opposite end they are truncated, and excavated, making their shape somewhat like that of a huckleberry blossom. Length 3 to 4 mm.",Quercus stellata,PXLII_6,http://digitallibrary.amnh.org/bitstream/handle/2246/660//v2/dspace/ingest/pdfSource/bul/B026a18.pdf?sequence=1&isAllowed=y,"[Synonymized with Acraspis vaccinii, Zopheroteras vaccinii, and Trigonaspis vaccinii. Ashmead created the species in Acraspis, moved it to Zopheroteras when he created that genus, Kieffer moved it to Trigonaspis (with no real explanation given) and Beutenmuller now moves it back to Zopheroteras.]","The gall begins to develop in August, but does not reach maturity until late in the fall.","August, Fall","FL, TX, New England",No
91,Zopheroteras hubbardi,Zopheroteras hubbardi,Parateras hubbardi,"""The species of Biorhiza, Philonix and allied genera, and their galls""",Nothing is known regarding the habits of this species.,,,http://digitallibrary.amnh.org/bitstream/handle/2246/660//v2/dspace/ingest/pdfSource/bul/B026a18.pdf?sequence=1&isAllowed=y,,,,MI,No
92,Callirhytis vaccinii,Callirhytis vaccinii,Andricus lustrans,Descriptions of New Cynipidae,The gall and male are not known.,,,https://www.jstor.org/stable/pdf/25076912.pdf,,,,TX,Yes
93,Callirhytis vaccinii,Callirhytis vaccinii,Andricus impositus,"""Notes on Cynipidae, with description of a new species (Hym.)""","On the under sides of the leaves of post oak (Quercus minor [stellata]) in clusters from about 4-40 individuals closely packed together, on the mid-rib and lateral veins, September to November. Monothalamous. Green, sometimes tinged with red. Elongate, rounded at the sides, narrow at the point of attachment and concave at the apex with a small central nipple. Outside it is rather densely covered with small pustules. When young, the gall is almost solid, but as it grows older the larval chamber gradually occupies the entire interior. After it drops to the ground, late in the fall, the gall gradually changes its shape to almost globular (berry-like) with the concave apex flattened and the surrounding rim less prominent. The crystal-like pustules change, the gall becoming evenly rugose. The point of attachment becomes long, narrow, and sharply pointed. The entire inside becomes hollow with the outer wall thin and brittle. Length 2.5 to 5 mm, width 2 to 4 mm, length of clusters 5 to 35 mm.",Quercus stellata,,https://www.biodiversitylibrary.org/page/2570776#page/411/mode/1up,"My observations on the galls were made from at least 500 clusters. At first I considered it to be that of Zopheroteras vaccinii Ashm., which it resembles when immature. But the flies are different, the female of vaccinii being apterous. The gall of A. impositus when mature resembles somewhat those of Cynips dimorphus and C. vacciniiformis. My galls were collected during September and until November 1st, 1915, but they evidently also occur earlier in the season, because some of the flies emerged in June and July and others in September, 1916. But the majority remained over until 19t7, the flies emerging indoors in January and February. My specimens were collected on a small rocky elevation in a, swamp, close to the Bronx River. near Westchester, New York City. This locality is gradually being filled in for streets and other improvement and soon %%rill become extinct. I have also taken the gall at Lakehurst, New Jersey, and it probably will be found in other places where Quercus minor [stellata] grows. 
",,,"NY, NJ",Yes
94,Dryocosmus deciduus,Dryocosmus deciduus,Dryocosmus deciduus,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,,,,https://www.biodiversitylibrary.org/page/7610635#page/309/mode/1up,"These galls long known in literature under the name decidua before the adult was reared are the ones to which Dr. A. D. Hopkins referred under the name of ""black oak wheat"" in a note. These specimens were from Wescott, Mo., and Texarkana, Ark. Doctor Hopkins collected galls at Kanawha Station, W. Va., September 25, 1923. The writer collected galls at Evanston and High-land Park, Ill.; Ironton and Poplar Bluff, Mo., and at Bluemont, Va. Galls collected at Evanston on October 8, 1910 contained pupae on September 22, 1917 and adults on November 16 which emerged March 23—April 22, 1918. As the flies reared agree with the type in having the mesoscutum smooth, parapsidal grooves complete, head sculptured, no malar groove, antennal segment 3 longer than 4 and claws simple, the species is here transferred to Dryocosmus. ","After the galls drop they change shape somewhat as the thick nutritive layer is used up, becoming distinctly spindle-shaped and only a thin brittle shell is left in the swollen central region. ","September, October","MO, AR, VA, IL",No
95,Andricus robustus,Andricus robustus,Andricus robustus,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,"A midrib cluster on under side of leaf in fall, the galls dropping to the ground when mature. The individual galls are somewhat globular, tapering to a pedicel at base and pointed with a slight scar at apex, greenish and mottled with white when fresh turning brown during winter on ground. 
The type material was collected at Arlington, Texas, November 3. 1917, when the galls were still dropping to the ground. On December 1.1919. living flies (that would probably have emerged in spring of 1930) were cut from the galls. Some of the same lot of fresh galls were sent to William Benteninueller, who reared adults January 10. February 11. 15. 20, 21. 1919, and more in February. 19211. Paratype flies were cut out December 1, 1919. from galls collected Texarkana, Ark.. in October. 1917. The galls have been collected also at Webster Groves. Poplar Bluff. and Ironton. Mo. Hoxie,. Little Rork. and Hot Springs. Ark:: Palestine. Cuero. and Austin, Tex.: Cottondale. Fla.: Washington. D. Falls Church. Va. Galls collected at Washington in late October. 1923. gave adults February 22 March 1. 14. 17. 1925. and these have been included among the paratypes. ",Quercus stellata,18,https://www.biodiversitylibrary.org/page/7610635#page/349/mode/1up,This is the gall described in connection with the fly of Cynips vacciniformis Beutenmuller which seems to have come from an accidentally included gall of a different sort in the breeding cage.,,November,"AR, MO, TX, FL, DC, VA",Yes
