Gall,All BHL descriptions added,Record,Gallformer Species,Host Plant,Host genus,References,Host associations mentioned (from Descriptions),Description (from Source Contents),Photos (from Source Contents),Taxonomic Info (from Source Contents),Source (from Source Contents),Location,Detachable,Texture,Alignment,Walls
Callirhytis piperoides,checked,42,Callirhytis piperoides,,,"48,54,56,58,59,60,63","Quercus rubra,Quercus rubra,Quercus rubra,Quercus rubra,Quercus rubra,Quercus coccinea,Quercus ilicifolia,Quercus velutina,Quercus rubra","Galls from one-eighth to three-eighths of an inch in diameter, in dense clusters along the mid-vein of full grown red oak leaves (Quercus rubra). They are found only on the largest leaves of the thriftiest shoots of young oaks. The clusters contain from one or two dozen galls up to a hundred or more, and extend along the vein two, three or even four inches. The vein is considerably enlarged, and is often split by the crowding of the galls as they increase in size. The blade of the leaf is often torn by the same force and the galls appear on both surfaces. When on the tree they are covered with a dense, coarse pubescence which is, in color, a dusky drab, or when exposed to the sun a brownish red. They are round except a very slight elongation at the point of attachment to the leaf. After falling to the ground they soon turn black, and after losing their pubescence they resemble quite closely small black pepper corns. At this time they are a solid mass of vegetable cells with a minute jelly-like center, which is the undeveloped larva. The growing larva devours the gall till at maturity nothing remains but a thin shell. , These galls are found in clusters of one to five dozen along the midrib, looking as if they had burst out from the inside of the leaf or vein. Each is smooth, spherical, attached by a small stem, 3.8 mm in diameter, monothalamous, grayish or tinged with red. They fall to the ground, where the larva completes its metamorphosis, which sometimes requires two years. Insects in second summer. Leaves of red oak Q rubra. Not rare., Similar in size and shape [to Andricus dimorphus] but red in color, in an elongated less compact cluster on upper or lower side of large leaves on thrifty shoots of Q rubra, dropping in October. Pubescent under lens. Adults emerged April-May the second spring and some hang over to emerge still later., Fuzzy, globular. Red oaks., Clustered, pubescent, globular, drab or brownish red midvein galls, frequently splitting and extending along the vein 4 to 8 cm, diameter 3 to 9 mm, occur in clusters of 10 to 100 or more on a leaf, on Q rubra. , Galls of this species were noted on the leaves of Q maxima [rubra] in IL, NY, and VA. Some specimens sent from Maine were determined by the writer as those of this species. Galls collected in IL in October contained both pupae and larvae in September and adults and larvae in November. Adults emerged April to May. The emergence is evidently distributed over at least two seasons. Beutenmueller notes that the galls were very common in the fall of 1916 and again in 1918, but none were noticed in 1917. , On Quercus coccinea, ilicifolia, rubra, velutina: Cluster on upper or lower side of leaf, each spherical, red, pubescent, 1-4 mm in dia, dropping in fall.","286, 201",,"New Species of North American Cynipidae (1900),""Insect galls of Springfield, Massachusetts, and vicinity"",Cynipid Galls of the Chicago Area,An illustrated catalogue of American insect galls,Key to American Insect Galls,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,Cynipid galls of the eastern United States",,,,,
Callirhytis lanata,checked,43,Callirhytis lanata,,,"50,51,52,53,55,57,64","Quercus rubra,Quercus coccinea,Quercus rubra,Quercus coccinea,Quercus velutina,Quercus marilandica,Quercus phellos,Quercus ilicifolia,Quercus rubra,Quercus texana,Quercus coccinea,Quercus rubra,Quercus velutina,Quercus coccinea,Quercus falcata,Quercus ilicifolia,Quercus marilandica,Quercus velutina,Quercus rubra,Quercus texana","During late summer and autumn the galls of this species are found on the under side of leaves of Quercus rubra and Q coccinea, appearing externally as little bunches of compact brown wool and hardly distinguishable in outward appearance from the galls of Andricus flocci Walsh. The galls seldom occur singly, but usually in clusters of from four to eight. A cluster of eight galls when fully grown will measure about 3/8 of an inch in width by 5/8 of an inch in length. An individual gall when denuded of its covering is in the form of an irregularly shaped cone with a bulging base, the diameter of the base being three or four sixteenths of an inch, which is nearly twice the height. The galls fall to the ground in the autumn in advance of the leaves, and the flies emerge the following summer. , Bunches of pale brown wool on under surface of leaf, each with 2 to 8 triangular or irregularly conical cells, diameter 5 to 15 mm, on Q rubra, coccinea, velutina, marilandica, phellos, nana., This species is here recorded from two new host oaks, Q rubra and Q texana from IL, MN, WI, PA, NY, VA, MO, OK, TX, and AL. Galls collected in fall of 1916 contained pupae and larvae in September and adults and larvae in November. Adults issued in April. Brodie found the galls common about Toronto on red and black oak, forest trees as well as second growth. They appear in August, mature in October dropping before the leaves, the producers emerging May and June from galls collected on the ground under the trees the previous fall. , A cluster of several light brown, wooly galls, sometimes pink-tinted, found on the under side of the leaf. Individual galls cone-shaped, monothalamous, attached by tip of cone to common center. About 5 mm wide, 5-7 mm high. The galls fall from the leaf in early autumn. The flies emerge the following spring. Common on Q coccinea., Hemispherical brownish woolly mass on midrib on underside of leaf of Q rubra and velutina. Made up of a cluster of easily detached separate angular galls which drop to the group in the fall in Oct before the leaves, each covered with a dense coating of wool. They are then fleshy and apparently solid as the larval cavity is very minute. Adults emerge the second and third springs in April., This gall, which occurs as a woolly mass on the under side of the leaves of several species of the red oak group, is composed of angular galls closely joined. When young the galls are covered with a whitish wool which later turns brown., On Quercus coccinea, falcata, ilicifolia, marilandica, rubra, texana, velutina: Woolly midrib cluster on under side of leaf in fall, dropping before the leaves.","P9F5, F108_1-3, P6F25, Callirhytis lanata, 206",(The photo Stebbins includes as D lanata resembles C piperoides; presumably an error),"Descriptions of new Cynipidae in the Collection of the Illinois State Laboratory of Natural History,Key to American Insect Galls,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,""Insect galls of Springfield, Massachusetts, and vicinity"",Cynipid Galls of the Chicago Area,50 common plant galls of the Chicago area,Cynipid galls of the eastern United States",,,,,
Neuroterus laurifoliae,checked,44,Neuroterus laurifoliae,"Quercus imbricaria,Quercus laurifolia",,"65,66,67","Quercus laurifolia,Quercus imbricaria,Quercus laurifolia,Quercus imbricaria","An oblong, wooly gall on the upper or lower surface of the leaves; the wool is fawn colored, long and fine, covering three or four, sometimes more irregularly rounded, flattened disks, in the centre of which live the flies; they are attached to the midrib by a nipple-like point; the disk or cell is concave above and measures .08 to .10 inch in diameter. , Woolly midrib cluster on under side of leaf in fall. Wool comes off clean leaving a conical gall with a sunken crenate top., Globose, kernel-like leaf galls occurring singly or in clusters and covered with long, loose, fawn-colored wool, diameter of kernel 2 to 2.5 mm, on Q laurifolia, Q imbricaria.","209, F107_7-8","Caption for F209: This gall on Q imbricaria with the wool easily detached may be what Ashmead described as the ""Laurel-oak Woolly Gall,"" Neuroterus laurifoliae Ashm., (the type now lost) (no Neuroterus on a red oak) or Callirhytis perplexa (Ashm.), from an unknown oak in MO or Callirhytis infuscata (Ashm) described from Q catesbaei [laevis].","On The Cynipidous Galls of Florida,Cynipid galls of the eastern United States,Key to American Insect Galls",,,,,
Disholcaspis bassetti,checked,45,Disholcaspis bassetti,,,"68,70,71,75,80,81","Quercus bicolor,Quercus bicolor,Quercus macrocarpa,Quercus bicolor,Quercus imbricaria,Quercus bicolor,Quercus bicolor","The gall occurs, sometimes singly, but usually in clusters about the twigs. The cluster represented at Fig. 2 was composed of 30 of these galls closely crowded together. The galls resemble very much the galls of Holcaspis duricoria Bass (Cynips mamma Wal) (Fig 3). The galls are very much the shape that a thick waxy material would take if dropped on the twigs and then suddenly congealed, leaved stout, test-like projections standing out from each drop. The central cell is placed low in the gall and can usually be seen protruding when the latter is broken off. Some entomologists have thought this gall to be identical with Walsh's C. mamma, but I have examined a large number of both forms and find the following points of difference, which convince me that this, if not a new species, is certainly a well marked variety:
H bassetti as compared with H duricoria, is rather larger and more irregular in outline. The teat-like projection is much heavier and longer in proportion to the size of the gall and appears to be a drawn-out portion of the substance of the gall, while in duricoria it is a small, hard pointed projection much resembling a spine in many cases, and often almost entirely wanting. In bassetti the substance of the gall is more corky and easy to cut. The central cell, as before stated, is at the base of the gall, and when the latter is removed the point of the cell can usually be seen protruding below. Before the gall is detached the central cell is situated with its greatest diameter perpendicular to the limb at the point of attachment of the gall. In duricoria the cell is situated at the center of the gall; it never protrudes from below when the gall is detached; and it always has its greatest diameter parallel with the limb at the point of attachment of the gall. The central or larval cells are also differently shaped. In duricoria the cell is egg-shaped, while in bassetti the end towards the twig is somewhat pointed, so that the cell is very much the shape of a plump apple seed with the point rounded off. , A monothalamous gall occurring singly or in clusters around the stems of the host. When grouped the galls often cover completely 4 to 5 inches of the stem.
When the gall is not deformed by crowding, it is irregularly circular in outline at the base, gradually tapering to a distinct point that is recurved in most cases. The gall is attached to the host by a small stalk at the centre of the base. Colour green, often tinged with pink when young; becoming brown when more mature. The larval chamber resembles closely that found in the former species [Disholcaspis quercusglobulus] in being oval and free at maturity, but it differs in being placed nearer the base of the gall and in tapering to a point at the end nearer the twig. 
Diameter at base, average, 16 mm.
, Globose, usually with a produced, curved apex, single or clustered twig gall, green turning to brown, on Q platanoides [bicolor], Q imbricaria [mistake? confused with Callirhytis ventricosa?], Bassett's bullet gall. Broadest at the clasping sessile base and tapering gradually above, the apex often lop-sided, 15-20 mm high, the larval cell basal. Single or in crowded clusters on twigs of trees of Q bicolor in fall. Adults emerge in early Oct.","2, 214, F64_6-7",,"A Study of the Cynipidae,An illustrated catalogue of American insect galls,A contribution to the morphology and biology of insect galls ,Key to American Insect Galls,Cynipid Galls of the Chicago Area,Field notes on gall-inhabiting cynipid wasps with descriptions of new species",,,,,
Disholcaspis quercusmamma,checked,46,Disholcaspis quercusmamma,,,"69,73,74,76,77,78,79","Quercus bicolor,Quercus macrocarpa,Quercus macrocarpa,Quercus bicolor,Quercus macrocarpa,Quercus macrocarpa,Quercus bicolor,Quercus macrocarpa,Quercus lyrata,Quercus bicolor,Quercus bicolor,Quercus macrocarpa","The galls are very common on the twigs of Quercus bicolor and macrocarpa. They may appear singly but are usually crowded in the cluster, are sub-globular in outline with a small teat-like projection. The fly, which much resembles Holcaspis globulus, rugosa, and bassetti, began to appear in the breeding cages Oct 27. Fig 3 is a full size representation of a cluster of these galls., Twig gall. Light tan globular woody gall with a rough surface, found in groups of 3 or more. Bur oak. Summer. Oak bullet gall, Globose, obscurely pointed, green, bright red, turning to brown or dark red, diameter 6 to 18 mm, on Q platanoides [bicolor] Q macrocarpa. , This gall may be confused easily with the preceding [Disholcaspis quercusglobulus]. The distinguishing characters are a velvety surface and pointed apex. It usually occurs in large numbers and in variable sizes on the branches of the burr oak, Quercus macrocarpa. Color: green, turning brown., These round, nipple-tipped galls are found on several species of oaks. They are colored green and red when young, velvety to touch, later becoming red or dark brown. In winter the galls are very hard and may be cut with difficulty. Rough Bullet Galls are generally found on young shoots of oak., In the Chicago area the galls start about the middle or end of July and some are full grown by end of August, adults emerging in different years from October 20 to November 10. 
, Pointed bullet gall. Similar [to Disholcaspis quercusglobulus] but pointed at the apex, subclasping at base, often distorted by crowding and extending along the stem for several inches sometimes. Frequently on sprouts from stumps or on small trees in large numbers in the fall. On Q macrocarpa and bicolor. Adults emerge Oct 20-Nov 10.","3, 79, F64_1, Disholcaspis quercusmamma, 16","This is probably the gall-fly referred to by Walsh in a foot-note in the American Entomologist Vol 1, page 102, for which he suggests the specific name mamma. Mr Bassett described this insect and gave it the specific name duricoria, a name that has been accepted by European entomologists [Weld lists duricoria in the genus Synergus, suggesting it was an inquiline mistaken for the gallformer]. For this reason, and for the farther reason that Walsh's description is not sufficient to distinguish the species with any certainty, I have given Bassett's name the preference. ","A Study of the Cynipidae,Key to shelterbelt insects in the northern great plains,Key to American Insect Galls,50 common plant galls of the Chicago area,Some plant galls of Illinois,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,Cynipid Galls of the Chicago Area",,,,,
Andricus apiarium,,47,Andricus apiarium,,,72,Quercus alba,"Solitary, sessile, on underside of leaf close to edge in October, shaped like an old-fashioned straw beehive, white or pinkish, measuring up to 4.6 mm broad by 4.0 mm high. Inside is a large cavity with a transverse larval cell at very base. During the winter on the ground the outer fleshy layer shrivels and the gall becomes more cylindrical. Not common. ",9,,New American Cynipid Wasps From Galls,,,,,
Callirhytis tubicola,checked,48,Callirhytis tubicola,,,"82,83","Quercus stellata,Quercus stellata","On Quercus obtusiloba [stellata] Clusters of yellow, tubular galls with red spines, on the underside of the leaves. The gall is a perpendicular tube 0.3 to 0.4 [no unit given] long, slightly narrowed at its point of attachment, open at the other end, yellowish and covered on its outer surface with numerous red spines. If cut open longitudinally, its inside appears divided into three compartments like so many floors, by two horizontal partitions; the compartment nearest to the base is empty, the intermediate one contains the insect and the third one is open at the top. 
If the red spines are removed with a knife and the surface of the gall examined under a strong lens, it shows dense longitudinal fibres and numerous little pale yellow crystals. The substance of the gall itself is hard, as if crystalline. From 30 to 40 of these galls are found sometimes on the underside of a single leaf. I frequently found them near Washington, in October and obtained the fly soon afterwards, each tube containing a single fly., On Quercus stellata: Cluster of yellow tubular galls bearing red spines, erect on under side of leaf in fall, 12 mm. high.
Galls stand erect in a group on under side of leaf. Adults May 11-28 the next spring.",240,,"On the Cynipidae of the North American Oaks and their Galls,Cynipid galls of the eastern United States",,,,,
Neuroterus saltarius,,49,Neuroterus saltarius,,,84,"Quercus macrocarpa,Quercus bicolor","Small, seed-like bodies, inserted in cup-like depressions on the under surface of leaf and causing a prominent light-colored bulging on the upper side of the leaf opposite, often two or three hundred on a leaf, less numerous on the basal part of leaf blade. When growing the galls are greenish-white, somewhat globular, flattened above with a papilla in center and a raised rim, not pubescent. They start to develop in June and in July or August drop to the ground where they exhibit the phenomenon of bouncing about until the lodge in some crevice in the soil where they pass the winter. When detached a large scar is left on base of gall. During the winter the galls become tan-colored and somewhat compressed laterally, one measured 1.2 mm long by .9 mm thick and 1.1 mm high. ",,This gall seems to have been first described in 1876 by Riley who unfortunately applied to it the name of a California species with similar jumping habits. Under this name the eastern gall has been mentioned many times in literature and good figures have been published of it but up to the present no one seems to have reared the adult.,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,,,,,
Andricus pattoni,,50,Andricus pattoni,,,85,Quercus stellata,"Galls, clusters of larval cells along the midvein of the leaves of Quercus obtusiloba [stellata], on the under side, and standing perpendicular to its surface. The cells are completely hidden in a short, dense brownish wool. The largest clusters often extend along the midvein more than half the length of the leaf. They are found on young trees, and usually on the leaves near the top of the stronger growing shoots. The insects live over winter in the galls. My specimens gathered in October were kept in a warm room and the insects came out in the February following. The galls resemble in their woolly covering those of C. flocci [Andricus quercusflocci] of Walsh, but the latter are round and the woolly hairs are longer, and the species is only found on Quercus alba. ",,"C pattoni was discovered in 1876 on West Rock, in New Haven Conn by Mr W H Patton, from whom I have received several interesting species of gall insects, and to whom, in acknowledgement of my indebtedness, I dedicate this species. ",New Cynipidae,,,,,
Andricus ignotus,,51,Andricus ignotus,,,86,Quercus bicolor,"Small oval cells, found singly or in small clusters of from two to eight together on the under side of the leaves of Q. bicolor. They are sessile on the midrib and principal veins, and usually lie in a position nearly horizontal to the surface of the leaf They are at first covered with short woolly hairs, but when ripe become more or less denuded. The naked surface when examined with a microscope shows numerous minute papillae, and between these a fine and regular reticulation. They are .10 of an inch in length and . 05 in diameter, and might easily be mistaken for the cocoons of some species of Microgaster. 
About fifteen years ago I found a few of these galls on the fallen leaves of a large oak and also on a small tree a few rods distant. The next year the greater part of the leaves on the large tree were covered with galls, a hundred or more being sometimes found on a single leaf I gathered a large quantity after the leaves fell, and the flies came out the next spring. I have examined this tree every year since and have never found any of these galls, nor have I ever seen them on other trees. 
There are some specimens of this species in the Museum at Cambridge, which Dr. Hagen informs me were found on oaks in the University grounds. I examined some oaks of the same species in the borders of the Botanical Garden at Cambridge last fall, and found several species of galls, but none of these. Can it be that the species has disappeared entirely ?",,,New Cynipidae,,,,,
Andricus quercusstrobilanus,,52,Andricus quercusstrobilanus,,,87,Quercus bicolor,"On Quercus prinos, var bicolor [Quercus bicolor]. Large gall, at the tip of twigs, consisting of a number of wedge-shaped bodies, fastened by their poitned ends to a common centre. Diameter about an inch and a half. C q. stobilana [sic] (as yet not reared)
These specimens measure rather more than an inch and a half in diameter and look somewhat like the cones of some kinds of pine, for instance, of the scrub-pine, as they consist of a number from 20 to 25 or more of wedge-shaped bodies, closely packed together, with their pointed ends attached to a common centre. These wedges are hard and corky and break off very easily when the gall is dry. Each of them contains a hollow kernel with a plump, large larva inside. This gall is evidently produced by the sting of the insect on the single leaves of a bud, each leaf growing into the shape of a wedge.",,,"""Additions and corrections to the paper entitled """"On the Cynipidae of the North American Oaks and their Galls""""""",,,,,
Callirhytis vaccinii,checked,53,Callirhytis vaccinii,,,"88,89,90,92,93,97,98,101,102,103","Quercus stellata,Quercus stellata,Quercus stellata,Quercus stellata,Quercus stellata,Quercus breviloba,Quercus stellata,Quercus breviloba,Quercus stellata,Quercus breviloba,Quercus stellata","On Quercus obtusiloba [stellata] Post oak. Clusters of small, somewhat bell-shaped, petiolate, greenish galls on the under side of the leaves, along the midrib. Their shape may be compared to that of the flowers of vaccinium. They are attenuated at the basis into a short petiole, fastened to the midrib of the leaf; the opposite end is truncated the truncature being excavated; the length, from the foot of the petiole to the truncated end, is from 0.12 to 0.15. They grow in numbers, sometimes of ten or more together, so that six, for instance, form a row on one side of the midrib and four or five on the opposite. When found by me on the tree in October 1861, these galls were pale green; the dry specimens are brownish. Inside of each was a small whitish larva, probably of a cynips., [Ashmead quotes the entire Osten Sacken original description]
This gall is common; begins developing in August, but does not reach maturity until last of December. I have found the same gall on the Post Oak at Asheville, N. C. , In clusters on the midrib on the under side of the leaves of post oak (Quercus minor [stellata]) in autumn. They grow in numbers on the opposite sides of the rib. Monothalamous, somewhat bell shaped and greenish in color gradually becoming reddish late in the season. They are attenuated at the base into a short petiole, fastened to the rib, and at the opposite end they are truncated, and excavated, making their shape somewhat like that of a huckleberry blossom. Length 3 to 4 mm., The gall and male are not known., On the under sides of the leaves of post oak (Quercus minor [stellata]) in clusters from about 4-40 individuals closely packed together, on the mid-rib and lateral veins, September to November. Monothalamous. Green, sometimes tinged with red. Elongate, rounded at the sides, narrow at the point of attachment and concave at the apex with a small central nipple. Outside it is rather densely covered with small pustules. When young, the gall is almost solid, but as it grows older the larval chamber gradually occupies the entire interior. After it drops to the ground, late in the fall, the gall gradually changes its shape to almost globular (berry-like) with the concave apex flattened and the surrounding rim less prominent. The crystal-like pustules change, the gall becoming evenly rugose. The point of attachment becomes long, narrow, and sharply pointed. The entire inside becomes hollow with the outer wall thin and brittle. Length 2.5 to 5 mm, width 2 to 4 mm, length of clusters 5 to 35 mm., These galls occur as midrib clusters on under side of leaves of Quercus stellata in the fall, dropping when mature. When fresh the individual galls are shaped like huckleberry flowers, somewhat cylindrical with the end distinctly truncate and depressed, but during the winter on the ground they become globular except for a short pedical, and the depressed end becomes a flattened circular scar at apex with a slightly raised rim, and the greenish or reddish color changes to brown., Clustered, seed-like leaf galls. Each gall monothalamous, elongate, rather cylindrical, urn-shape, broadest at the middle, less broad apically, flattened at the end, taper pointed basally, up to 4 mm in diameter by 6 mm in length; colored dark green when young, becoming a dark red or purplish red when old. Mostly solid and fleshy when young, becoming hard, thin -walled, and hollow when old, without a distinct larval cell lining. In compact clusters of up to 30 galls, attached to the midrib, on the under sides of leaves of Quercus stellata (and Q breviloba?)
This gall is very common on the post oaks in Texas. Patterson states that the punctures from which the galls will arise may be detected about the first of May, that the galls do not develop from the scars until about the middle of July, that the galls are fully grown in size by the first of October, and in a couple of weeks most of them fall to the ground. I have collected them in late November and December, but the larva are then still so small that they do not mature after becoming dry. Evidently they need to be kept moist, as they are when lying on the ground, to allow the insect to develop. Patterson secured over a hundred adults which emerged from February 12, 1922, to March 8. Inasmuch as the breeding of the insect is difficult unless carefully handled on the field, we are considerably indebted to Dr. Patterson for successfully rearing the adult. I collected the galls, but did not obtain the insects from the other Texas localities listed. It is possible but not prob-able that other varieties occur at some of those points. The gall occurs on Q. breviloba at Leander, and Patterson reports it as occasionally on breviloba at Austin. It is not unlikely that the breviloba insect is a distinct variety with a range centering about Burnett County, Texas. 
, On Quercus breviloba: Midrib cluster like Callirhytis lustrans
On Quercus stellata: Midrib cluster on under side in fall, each with a short stalk, end truncate and depressed.
Figure caption: There is a similar gall on Q margarettae and on Q chapmanii which has never been reared., On Quercus stellata: Galls shaped like those of C lustrans, in numbers in rows on either side of the midrib in the fall. Turn black in drying. Entered from literature.","PXLII_6, 203, 203","Baron Osten Sacken mentions having found this species in his second paper on North American Oak Galls 1862, p. 255, from whom the description of the gall is taken; he did not, however, breed the fly., [Synonymized with Acraspis vaccinii, Zopheroteras vaccinii, and Trigonaspis vaccinii. Ashmead created the species in Acraspis, moved it to Zopheroteras when he created that genus, Kieffer moved it to Trigonaspis (with no real explanation given) and Beutenmuller now moves it back to Zopheroteras.], My observations on the galls were made from at least 500 clusters. At first I considered it to be that of Zopheroteras vaccinii Ashm., which it resembles when immature. But the flies are different, the female of vaccinii being apterous. The gall of A. impositus when mature resembles somewhat those of Cynips dimorphus and C. vacciniiformis. My galls were collected during September and until November 1st, 1915, but they evidently also occur earlier in the season, because some of the flies emerged in June and July and others in September, 1916. But the majority remained over until 19t7, the flies emerging indoors in January and February. My specimens were collected on a small rocky elevation in a, swamp, close to the Bronx River. near Westchester, New York City. This locality is gradually being filled in for streets and other improvement and soon %%rill become extinct. I have also taken the gall at Lakehurst, New Jersey, and it probably will be found in other places where Quercus minor [stellata] grows. 
, Lustrans was described from two adults captured at Austin, TX, gall and host unknown. One of these specimens was given in 1921 to the writer, who recognized its close relation to impositus. lustrans is described as without a median groove, but this specimen in certain positions shows a faint median line, while the groove in some of the many available partaypes of impositus is fully as faintly defined. The writer is unable to separate paratypes of verifactor from lustrans. The gall of this species was first described by Osten Sacken in 1862, but Ashmead was evidently in error in thinking he had reared it in 1887, associating the wingless fly he reared with the wrong gall. , This is certainly a variety of Andricus dimorphus, described as a Cynips (Beutenmuller, 1913, Trans. Amer. Ent. Soc., XXXIX, p. 245) from galls taken by Weld at Evanston, Illinois, on Q. macromrpa. Similar galls have been recorded and are common on white oaks of many species from the whole of eastern United States. Unfortunately I cannot examine the types of dimorphus, and cannot furnish a comparative description. Probably several different varieties occur in several faunal areas, and possibly different varieties on different hosts. This variety appears to differ from dimorphus in having the thorax less roughly rugose, the parapsidal grooves and lateral lines smooth, and the first abscissa of the radius not infuscated. Probably an examination of the dimorphus type would modify this comparison and disclose other points of difference. 
Cynips vacciniiformis was described from Q. stellata galls which are undoubtedly those of verifactor, and from Austin. But the description of the single insect obtained is far from correct for the true producer of this gall, and apparently applies to a different species mistakenly supposed to have come from verifactor galls. Vaccinliformis was described in 1913. Of course insects bred from galls collected in 1917 and now labelled cotypes in at least a couple of collections, cannot have any standing as type material. [Kinsey seems to have been mistaken about the synonymy of his galls with Beutenmuller's Callirhytis vacciniiformis?]
, [Creates the genus Zopheroteras] 
To this genus belongs Acraspis vaccinii, Ashm., [Weld's photo is somewhat confusing, since it seems to resemble Andricus vacciniiformis more than Callirhytis vaccinii. However, the flat top with slight nipple does seem to suggest these are still C vaccinii, as other synonymies suggest; presumably these are just fallen galls that have swollen as mentioned in several descriptions.], [It's not clear why Weld lists this as distinct from C lustrans in this book; he synonymized Acraspis vaccinii into C lustrans himself]","""Additions and corrections to the paper entitled """"On the Cynipidae of the North American Oaks and their Galls"""""",On The Cynipidous Galls of Florida,""The species of Biorhiza, Philonix and allied genera, and their galls"",Descriptions of New Cynipidae,""Notes on Cynipidae, with description of a new species (Hym.)"",Field notes on gall-inhabiting cynipid wasps with descriptions of new species,Studies of some new and described Cynipidae (Hymenoptera),Descriptions of Five New Genera in the Family Cynipidae,Cynipid galls of the eastern United States,Cynipid galls of the eastern United States",,,,,
Zopheroteras hubbardi,,54,Zopheroteras hubbardi,,,91,,Nothing is known regarding the habits of this species.,,,"""The species of Biorhiza, Philonix and allied genera, and their galls""",,,,,
Dryocosmus deciduus,checked,55,Dryocosmus deciduus,,,"94,107,108,109,110,111,112","Quercus rubra,Quercus velutina,Quercus rubra,Quercus velutina,Quercus bicolor,Quercus rubra,Quercus ilicifolia,Quercus coccinea,Quercus rubra,Quercus rubra,Quercus velutina,Quercus rubra,Quercus velutina,Quercus coccinea,Quercus falcata,Quercus imbricaria,Quercus ilicifolia,Quercus marilandica","On the midrib of the leaves of red oak (Quercus rubra) and black oak (Q velutina). Rounded or elongated swellings filled with oblong kernels from a few to about 40, all depending on the size of the gall. When young these bodies are concealed in the hard, fleshy part of the gall and as the swelling grows older the seed-like kernels gradually protrude therefrom and when fully grown late in September and early in October the swelling bursts open completely and the kernels are whitish, yellowish, sometimes tinged after they become exposed., Rounded or elongate midrib swellings filled with oblong or elongate kernels, a few to 40, when young concealed in the tissues and bursting open in October on Q rubra, Q velutina., Clusters of seedlike bodies, often 30 to 40 together, occur on the under side of the midvein of red oak leaves, the larger cells smooth, greenish white with an enlarged apex and about the size of grains of wheat, on Q bicolor, Q ilicifolia, Q rubra, and Q coccinea., Clusters of seed-like bodies, often thirty or forty together growing on the midvein on the under side of the leaves of Q rubra. The larger cells are about the size of a grain of wheat. They are smooth, greenish-white, the apex enlarged, and would remind a botanist of the sessile stigmas of some flowers., Black oak wheat. Individual galls about size and shape of a kernel of wheat with a fleshy knob at upper end, greenish, smooth, bare. When young concealed in the swelling midrib but later bursting out of a crack in a compact cluster of from a few to 40 galls often rupturing the leaf blade so as to be visible from above, dropping in Oct. On Q rubra and velutina. Galls collected Oct 1916 gave adults Mar 23-Apr 22 1918.  , On Quercus coccinea, falcata, ilicifolia, imbricaria, marilandica, rubra, velutina: Black Oak Wheat. Cluster of up to 40 bursting out of midrib in early Oct, dropping when mature.
",,"These galls long known in literature under the name decidua before the adult was reared are the ones to which Dr. A. D. Hopkins referred under the name of ""black oak wheat"" in a note. These specimens were from Wescott, Mo., and Texarkana, Ark. Doctor Hopkins collected galls at Kanawha Station, W. Va., September 25, 1923. The writer collected galls at Evanston and High-land Park, Ill.; Ironton and Poplar Bluff, Mo., and at Bluemont, Va. Galls collected at Evanston on October 8, 1910 contained pupae on September 22, 1917 and adults on November 16 which emerged March 23—April 22, 1918. As the flies reared agree with the type in having the mesoscutum smooth, parapsidal grooves complete, head sculptured, no malar groove, antennal segment 3 longer than 4 and claws simple, the species is here transferred to Dryocosmus. , [Synonym of Cynips quercus decidua and Cynips decidua]
This singular species was hitherto known by the gall only. , [This book includes reference to Beutenmuller's D deciduus, which synonymized C decidua in its original description, so it isn't clear why Felt included this as a separate entry. The association with Q bicolor is certainly wrong.]","Field notes on gall-inhabiting cynipid wasps with descriptions of new species,Description of a New Gallfly (Andricus decidua),Key to American Insect Galls,Key to American Insect Galls,Descriptions of several new species of Cynips and a new species of Diastrophus,Cynipid Galls of the Chicago Area,Cynipid galls of the eastern United States",,,,,
